pb_acc	gene
ENSMUST00000120976.2	Snrp1c-ps2
ENSMUST00000121002.2	Gm11278
ENSMUST00000121014.2	Vmn1r-ps111
ENSMUST00000121050.2	Vmn1r-ps114
ENSMUST00000121088.2	Gm11307
ENSMUST00000121095.8	Fbxl21
ENSMUST00000121120.2	Gm11355
ENSMUST00000121211.3	Vmn1r-ps128
ENSMUST00000121257.2	Gm11321
ENSMUST00000121318.2	Vmn1r-ps113
ENSMUST00000121346.2	Gm11383
ENSMUST00000121376.3	Gm11384
ENSMUST00000121379.3	Gm11295
ENSMUST00000121401.8	Simc1
ENSMUST00000121404.8	Adtrp
ENSMUST00000121407.2	Gm11389
ENSMUST00000121436.2	Gm11350
ENSMUST00000121458.2	Vmn1r-ps107
ENSMUST00000121513.2	Gm11385
ENSMUST00000121524.2	Gm11279
ENSMUST00000121544.2	Vmn1r-ps116
ENSMUST00000121618.2	Lhfpl2
ENSMUST00000121672.3	Gm11363
ENSMUST00000121682.3	Setd9-ps
ENSMUST00000121871.8	Fbxl21
ENSMUST00000121910.2	Gm11284
ENSMUST00000121974.2	Gm11354
ENSMUST00000122011.2	Gm11344
ENSMUST00000122016.2	Vmn1r-ps94
ENSMUST00000122041.8	Pde4d
ENSMUST00000122209.2	Gm11349
ENSMUST00000122233.8	Kif2a
ENSMUST00000122270.3	1700119I11Rik
ENSMUST00000122275.3	Vmn1r221
ENSMUST00000122286.2	Nrn1
ENSMUST00000122310.3	Gm11358
ENSMUST00000122316.2	Gm11341
ENSMUST00000122399.8	Gzmk
ENSMUST00000122415.3	Ncf2-rs
ENSMUST00000122641.3	4930470G03Rik
ENSMUST00000122785.4	Gm25483
ENSMUST00000122842.8	Rreb1
ENSMUST00000122843.2	Mctp1
ENSMUST00000122872.9	Pgbd1
ENSMUST00000122881.7	2610307P16Rik
ENSMUST00000122926.2	4930470G03Rik
ENSMUST00000122935.2	Rnf44
ENSMUST00000122940.2	4930586N03Rik
ENSMUST00000122949.2	Gm15620
ENSMUST00000123058.2	Ahrr
ENSMUST00000123076.8	Carmil1
ENSMUST00000123097.8	Hk3
ENSMUST00000123138.2	Ercc8
ENSMUST00000123182.8	Ercc8
ENSMUST00000123187.2	Adarb2
ENSMUST00000123212.2	Phf2os1
ENSMUST00000123333.8	Rnf44
ENSMUST00000123353.2	Rhobtb3
ENSMUST00000123438.2	1700092E19Rik
ENSMUST00000123535.2	5330416C01Rik
ENSMUST00000123552.8	Adamts16
ENSMUST00000123599.8	Auh
ENSMUST00000123641.8	Cdkal1
ENSMUST00000123657.8	Ercc8
ENSMUST00000123766.8	Lpcat1
ENSMUST00000123852.2	Simc1
ENSMUST00000123924.8	Ankra2
ENSMUST00000123987.2	Phactr1
ENSMUST00000123997.8	Slc6a19
ENSMUST00000123998.3	A830082K12Rik
ENSMUST00000124052.3	Trim27
ENSMUST00000124055.2	Gm16249
ENSMUST00000124093.3	Sycp2l
ENSMUST00000124193.2	Bhmt
ENSMUST00000124238.2	Gm16248
ENSMUST00000124268.8	Rreb1
ENSMUST00000124373.8	Rreb1
ENSMUST00000124406.8	Slc6a19
ENSMUST00000124480.8	Dbn1
ENSMUST00000124532.8	Cdkal1
ENSMUST00000124561.2	Uimc1
ENSMUST00000124627.2	Lpcat1
ENSMUST00000124644.2	Gtf2h2
ENSMUST00000124698.8	Gtf2h2
ENSMUST00000124752.2	Faf2
ENSMUST00000124794.2	Trim27
ENSMUST00000124830.3	Dsp
ENSMUST00000124833.2	Gm11290
ENSMUST00000124841.3	Vmn1r208
ENSMUST00000124888.8	Lgals8
ENSMUST00000124912.2	Gm11280
ENSMUST00000124948.2	Tpmt
ENSMUST00000124968.8	Pcbd2
ENSMUST00000124981.2	Fbxl21
ENSMUST00000124996.8	Psmg4
ENSMUST00000125037.3	Pxdc1
ENSMUST00000125176.3	Nr2f1
ENSMUST00000125206.2	Mrps36
ENSMUST00000125209.9	Mctp1
ENSMUST00000125328.2	Zfp322a
ENSMUST00000125358.9	2610307P16Rik
ENSMUST00000125420.8	Carmil1
ENSMUST00000125495.10	Zfp738
ENSMUST00000125510.3	Zfp369
ENSMUST00000125511.2	Sema4d
ENSMUST00000125572.2	Smn1
ENSMUST00000125663.2	Adgrv1
ENSMUST00000125698.8	Adgrv1
ENSMUST00000125871.8	Rnf44
ENSMUST00000125901.8	Carmil1
ENSMUST00000125927.8	Rnf44
ENSMUST00000125960.2	5330416C01Rik
ENSMUST00000126071.9	Faf2
ENSMUST00000126138.8	1700018A04Rik
ENSMUST00000126196.2	Dmgdh
ENSMUST00000126234.8	Hk3
ENSMUST00000126295.2	4833439L19Rik
ENSMUST00000126348.2	Nrsn1
ENSMUST00000126444.8	Adgrv1
ENSMUST00000126506.2	Simc1
ENSMUST00000126525.8	Eif4e1b
ENSMUST00000126540.8	Prl2c5
ENSMUST00000126622.9	Gm9828
ENSMUST00000126640.2	Gm15288
ENSMUST00000126687.2	Cap2
ENSMUST00000126717.8	Rnf44
ENSMUST00000126785.8	Eif4e1b
ENSMUST00000126879.8	Zfp369
ENSMUST00000126957.9	Paip1
ENSMUST00000126960.8	Mctp1
ENSMUST00000127108.3	Gm11309
ENSMUST00000127137.3	Nr2f1
ENSMUST00000127195.8	Uimc1
ENSMUST00000127360.2	Secisbp2
ENSMUST00000127817.3	Gm15326
ENSMUST00000127854.2	Nsun2
ENSMUST00000127859.2	Phactr1
ENSMUST00000127863.2	ENSMUSG00000121648
ENSMUST00000127867.2	Dbn1
ENSMUST00000127906.8	Dsp
ENSMUST00000127979.9	Zfp65
ENSMUST00000128038.2	Rnf44
ENSMUST00000128103.9	Fgf10
ENSMUST00000128120.2	Adgrv1
ENSMUST00000128198.3	Gm15326
ENSMUST00000128257.8	Rnf44
ENSMUST00000128279.2	Ccnb1
ENSMUST00000128315.2	Gpld1
ENSMUST00000128380.8	Auh
ENSMUST00000128392.2	Slc22a23
ENSMUST00000128416.2	Carmil1
ENSMUST00000128544.8	Auh
ENSMUST00000128570.9	Rreb1
ENSMUST00000128585.9	Adgrv1
ENSMUST00000128641.2	Uimc1
ENSMUST00000128646.8	Phactr1
ENSMUST00000128658.8	Zmynd11
ENSMUST00000128668.8	Fbxl21
ENSMUST00000128695.2	Akr1c6
ENSMUST00000128873.2	Gmpr
ENSMUST00000128892.8	Akr1c13
ENSMUST00000128910.8	Pdlim7
ENSMUST00000128911.2	Pdlim7
ENSMUST00000128914.3	Gm15912
ENSMUST00000128977.3	Kdm1b
ENSMUST00000129014.2	Serf1
ENSMUST00000129042.2	Slc17a1
ENSMUST00000129117.8	Ercc8
ENSMUST00000129154.3	Hnrnpa1l2-ps
ENSMUST00000129176.2	Gmpr
ENSMUST00000129231.2	Cdkal1
ENSMUST00000129312.2	H2bc6
ENSMUST00000129352.3	Dek
ENSMUST00000129374.2	Pde4d
ENSMUST00000129449.3	Tmem170b
ENSMUST00000129488.8	Arid4b
ENSMUST00000129638.2	Gpbp1
ENSMUST00000129665.8	Prss16
ENSMUST00000129725.2	Adgrv1
ENSMUST00000129751.2	Akr1c19
ENSMUST00000129791.3	Gm11373
ENSMUST00000129881.8	Rnf44
ENSMUST00000130003.8	Gm16984
ENSMUST00000130065.8	Gli3
ENSMUST00000130109.9	A330102I10Rik
ENSMUST00000130151.8	Zmynd11
ENSMUST00000130211.8	Slc17a1
ENSMUST00000130235.9	Ror2
ENSMUST00000130535.2	Gli3
ENSMUST00000130568.9	Tspan17
ENSMUST00000130585.2	Prss16
ENSMUST00000130594.2	Map3k1
ENSMUST00000130726.2	Adamts16
ENSMUST00000130788.2	Tdp2
ENSMUST00000130799.8	Zfp369
ENSMUST00000130840.2	4930451E10Rik
ENSMUST00000130891.3	Zfp65
ENSMUST00000130966.2	Gm11378
ENSMUST00000131011.2	Cox7c
ENSMUST00000131066.2	Cage1
ENSMUST00000131120.8	Kdm1b
ENSMUST00000131215.2	2610204G07Rik
ENSMUST00000131280.2	Ninj1
ENSMUST00000131306.8	Pdlim7
ENSMUST00000131539.2	Gm11377
ENSMUST00000131564.9	A830082K12Rik
ENSMUST00000131595.2	Lhfpl2
ENSMUST00000131648.8	Pfkp
ENSMUST00000131691.8	Cmah
ENSMUST00000131692.9	Tspan17
ENSMUST00000131792.8	Cdkal1
ENSMUST00000131880.2	Susd3
ENSMUST00000131907.10	Mir9-2hg
ENSMUST00000131942.2	Phactr1
ENSMUST00000131982.2	Akr1e1
ENSMUST00000132005.8	Eif4e1b
ENSMUST00000132045.2	Adgrv1
ENSMUST00000132050.2	Phactr1
ENSMUST00000132053.8	Serf1
ENSMUST00000132085.8	Slc6a19
ENSMUST00000132136.3	4833439L19Rik
ENSMUST00000132206.2	Mylk4
ENSMUST00000132233.2	Cox7c
ENSMUST00000132302.2	Smad5
ENSMUST00000132304.10	Paip1
ENSMUST00000132309.8	Hk3
ENSMUST00000132415.8	Eif4e1b
ENSMUST00000132480.2	Gadd45g
ENSMUST00000132488.2	Gm9828
ENSMUST00000132531.2	Marcksl1-ps4
ENSMUST00000132564.2	Gm15287
ENSMUST00000132598.8	Auh
ENSMUST00000132661.2	Ppp1r3g
ENSMUST00000132689.8	Ripor2
ENSMUST00000132711.2	Rasa1
ENSMUST00000132728.8	Eif4e1b
ENSMUST00000132731.2	Gm6270
ENSMUST00000132880.3	Gm15290
ENSMUST00000132955.8	Mrps36
ENSMUST00000133041.8	Pfkp
ENSMUST00000133100.2	Tpmt
ENSMUST00000133143.2	Lgals8
ENSMUST00000133176.8	B4galt7
ENSMUST00000133177.3	Zfp595
ENSMUST00000133187.2	Uimc1
ENSMUST00000133204.8	Gm11290
ENSMUST00000133280.2	Shld3
ENSMUST00000133364.2	Map3k1
ENSMUST00000133461.2	Btf3
ENSMUST00000133627.8	Nnt
ENSMUST00000133761.2	Edil3
ENSMUST00000133791.2	Lpcat1
ENSMUST00000133826.2	Btf3
ENSMUST00000133906.8	Auh
ENSMUST00000133929.8	Pde4d
ENSMUST00000133957.8	Ercc8
ENSMUST00000133984.2	Ssbp2
ENSMUST00000134080.2	Ccnb1
ENSMUST00000134110.2	Sncb
ENSMUST00000134136.2	Zfp367
ENSMUST00000134177.8	Rnf44
ENSMUST00000134241.8	Edil3
ENSMUST00000134284.2	Gm15907
ENSMUST00000134370.8	Ripor2
ENSMUST00000134472.2	Gm6081
ENSMUST00000134514.8	Smn1
ENSMUST00000134542.2	Btf3
ENSMUST00000134624.3	2610307P16Rik
ENSMUST00000134705.3	A830082K12Rik
ENSMUST00000134787.8	2610307P16Rik
ENSMUST00000134814.2	Fbp1
ENSMUST00000134842.8	Gtf2h2
ENSMUST00000134862.8	Rnf44
ENSMUST00000134973.8	Pde4d
ENSMUST00000135015.2	Faf2
ENSMUST00000135060.2	Lgals8
ENSMUST00000135096.2	Cspg4b
ENSMUST00000135166.8	Lgals8
ENSMUST00000135232.8	Faf2
ENSMUST00000135275.8	Pde4d
ENSMUST00000135278.8	Dek
ENSMUST00000135284.2	Nr2f1
ENSMUST00000135343.2	Gprin1
ENSMUST00000135349.2	Pcsk1
ENSMUST00000135354.2	Arl10
ENSMUST00000135355.2	Smn1
ENSMUST00000135404.2	Thoc3
ENSMUST00000135572.2	Gm9828
ENSMUST00000135574.8	Adarb2
ENSMUST00000135656.3	G630018N14Rik
ENSMUST00000135705.8	Dbn1
ENSMUST00000135761.8	Pfkp
ENSMUST00000135784.2	Susd3
ENSMUST00000135851.2	Rgs14
ENSMUST00000135889.3	ENSMUSG00000121648
ENSMUST00000135897.2	Serpinb9c
ENSMUST00000135983.2	Hk3
ENSMUST00000136135.2	Zfyve16
ENSMUST00000136471.9	Gpbp1
ENSMUST00000136517.2	Carmil1
ENSMUST00000136576.8	Phactr1
ENSMUST00000136583.2	Pdlim7
ENSMUST00000136585.2	Pfkp
ENSMUST00000136668.2	Gpx6
ENSMUST00000136694.2	Cenph
ENSMUST00000136702.2	Smad5
ENSMUST00000136755.10	Cspg4b
ENSMUST00000136852.2	Unc5a
ENSMUST00000136864.8	Tpmt
ENSMUST00000136891.2	Nsun2
ENSMUST00000136906.2	Armh2
ENSMUST00000136932.3	Nsun2
ENSMUST00000136951.2	Phactr1
ENSMUST00000137052.8	Mctp1
ENSMUST00000137064.8	Auh
ENSMUST00000137199.2	A830082K12Rik
ENSMUST00000137225.8	Cdkal1
ENSMUST00000137268.8	Mier3
ENSMUST00000137278.2	Srek1ip1
ENSMUST00000137279.3	Akr1c21
ENSMUST00000137327.2	Pfkp
ENSMUST00000137413.8	Faf2
ENSMUST00000137425.2	Ercc8
ENSMUST00000137434.8	Phactr1
ENSMUST00000137493.8	Ssbp2
ENSMUST00000137496.10	Zfp738
ENSMUST00000137538.8	Ahrr
ENSMUST00000137593.2	Gm11364
ENSMUST00000137651.2	Gm11300
ENSMUST00000137658.2	Ssbp2
ENSMUST00000137813.2	Zmynd11
ENSMUST00000137835.8	Macroh2a1
ENSMUST00000137905.2	Adtrp
ENSMUST00000137921.8	Edil3
ENSMUST00000137932.2	Zmynd11
ENSMUST00000137967.2	Unc5a
ENSMUST00000138039.2	Zmynd11
ENSMUST00000138043.8	Rreb1
ENSMUST00000138067.2	Sncb
ENSMUST00000138110.8	Rreb1
ENSMUST00000138228.8	Sema4d
ENSMUST00000138255.2	Scamp1
ENSMUST00000138401.2	Dek
ENSMUST00000138447.2	4932702P03Rik
ENSMUST00000138488.2	Ssbp2
ENSMUST00000138547.8	Ripor2
ENSMUST00000138574.2	Gm11381
ENSMUST00000138640.8	Phactr1
ENSMUST00000138677.8	Smad5
ENSMUST00000138703.8	Pfkp
ENSMUST00000138725.3	Zfp729b
ENSMUST00000138783.8	Gng4
ENSMUST00000138869.2	Simc1
ENSMUST00000138899.2	Nkd2
ENSMUST00000138938.8	Pde4d
ENSMUST00000138992.2	Gm15911
ENSMUST00000139018.2	Sema4d
ENSMUST00000139064.11	Pou6f2
ENSMUST00000139087.8	Slc6a19
ENSMUST00000139184.8	Eif4e1b
ENSMUST00000139275.8	Dbn1
ENSMUST00000139287.4	Trim27
ENSMUST00000139335.3	Gm11351
ENSMUST00000139397.2	Gm15324
ENSMUST00000139438.2	Adarb2
ENSMUST00000139511.8	Macroh2a1
ENSMUST00000139516.2	Dbn1
ENSMUST00000139572.2	Slc17a2
ENSMUST00000139574.2	Tspan17
ENSMUST00000139576.2	Gm11368
ENSMUST00000139696.2	Gm8062
ENSMUST00000139822.3	4930558J22Rik
ENSMUST00000139858.8	Sema4d
ENSMUST00000139865.8	Sema4d
ENSMUST00000140042.8	Carmil1
ENSMUST00000140142.8	Cltb
ENSMUST00000140180.2	Zmynd11
ENSMUST00000140217.8	Tppp
ENSMUST00000140278.8	Cdkal1
ENSMUST00000140324.2	Gzmk
ENSMUST00000140330.2	Gm2830
ENSMUST00000140339.2	Syk
ENSMUST00000140415.9	A330102I10Rik
ENSMUST00000140431.2	Lpcat1
ENSMUST00000140625.2	Edil3
ENSMUST00000140651.8	Phactr1
ENSMUST00000140745.2	Smn1
ENSMUST00000140760.2	Slc28a3
ENSMUST00000140878.2	Slc6a19
ENSMUST00000140971.2	Akr1c13
ENSMUST00000140980.2	1700018A04Rik
ENSMUST00000141031.8	Macroh2a1
ENSMUST00000141147.2	Asb13
ENSMUST00000141194.8	Gli3
ENSMUST00000141292.9	Sycp2l
ENSMUST00000141381.2	Ssbp2
ENSMUST00000141391.2	Gm11281
ENSMUST00000141398.2	Eif4e1b
ENSMUST00000141408.2	Susd3
ENSMUST00000141495.2	Cwc27
ENSMUST00000141543.3	C230035I16Rik
ENSMUST00000141557.8	Trappc13
ENSMUST00000141572.8	D130043K22Rik
ENSMUST00000141589.2	Macroh2a1
ENSMUST00000141644.2	Mxd3
ENSMUST00000141717.8	Slc17a2
ENSMUST00000141879.2	Rasa1
ENSMUST00000141915.2	Faf2
ENSMUST00000141967.2	Asb13
ENSMUST00000142056.2	Ccnb1
ENSMUST00000142158.8	Eif4e1b
ENSMUST00000142171.2	Carmil1
ENSMUST00000142182.8	Gtf2h2
ENSMUST00000142246.2	Arl10
ENSMUST00000142285.2	Rasa1
ENSMUST00000142286.2	Gm15813
ENSMUST00000142372.2	Pfkp
ENSMUST00000142515.8	Auh
ENSMUST00000142621.2	Gm15322
ENSMUST00000142654.8	B4galt7
ENSMUST00000142745.2	Trappc13
ENSMUST00000142826.3	Scgn
ENSMUST00000142827.2	Ercc6l2
ENSMUST00000142882.2	Cmah
ENSMUST00000142906.2	Unc5a
ENSMUST00000142931.8	Ercc8
ENSMUST00000142972.2	Pfkp
ENSMUST00000143025.2	Gm15622
ENSMUST00000143144.8	4833439L19Rik
ENSMUST00000143173.8	4833439L19Rik
ENSMUST00000143181.8	Agtr1a
ENSMUST00000143260.2	Platr25
ENSMUST00000143331.8	Gpbp1
ENSMUST00000143335.2	Prl2c5
ENSMUST00000143353.2	Slc22a23
ENSMUST00000143396.2	Sema4d
ENSMUST00000143449.9	Ercc6l2
ENSMUST00000143518.3	Kdm1b
ENSMUST00000143693.8	Lgals8
ENSMUST00000143716.8	Nsun2
ENSMUST00000143812.2	Zfp85os
ENSMUST00000143868.2	Kdm1b
ENSMUST00000143933.2	Dek
ENSMUST00000143937.2	Smn1
ENSMUST00000144052.2	Rnf44
ENSMUST00000144053.2	Pfkp
ENSMUST00000144060.8	Trappc13
ENSMUST00000144159.2	Carmil1
ENSMUST00000144183.3	Zfp85
ENSMUST00000144277.2	Gm11365
ENSMUST00000144283.2	Lgals8
ENSMUST00000144288.8	Pdlim7
ENSMUST00000144326.4	Ranbp9
ENSMUST00000144401.2	Ctsq
ENSMUST00000144541.3	Gm11376
ENSMUST00000144545.2	A830082K12Rik
ENSMUST00000144599.2	Nnt
ENSMUST00000144621.8	Cmah
ENSMUST00000144642.2	Zmynd11
ENSMUST00000144659.2	Ssbp2
ENSMUST00000144680.2	Gm16263
ENSMUST00000144718.3	4930526F13Rik
ENSMUST00000144763.2	Ercc6l2
ENSMUST00000144770.2	Gm11337
ENSMUST00000144820.3	Nme8
ENSMUST00000144838.2	Lhfpl2
ENSMUST00000144993.2	5330416C01Rik
ENSMUST00000145038.8	Slc22a23
ENSMUST00000145055.2	Map3k1
ENSMUST00000145151.2	Dsp
ENSMUST00000145215.2	Rnf44
ENSMUST00000145221.2	Serpinb6e
ENSMUST00000145266.8	Gtf2h2
ENSMUST00000145397.2	Rnf44
ENSMUST00000145451.8	Zfp322a
ENSMUST00000145494.2	Pgbd1
ENSMUST00000145574.2	Tspan17
ENSMUST00000145613.8	A830082K12Rik
ENSMUST00000145631.9	Zkscan3
ENSMUST00000145661.8	Srek1ip1
ENSMUST00000145801.2	A330102I10Rik
ENSMUST00000145810.2	Sycp2l
ENSMUST00000145879.2	Prl7d1
ENSMUST00000146011.2	Secisbp2
ENSMUST00000146039.2	Zmynd11
ENSMUST00000146059.8	Zmynd11
ENSMUST00000146092.3	E2f3
ENSMUST00000146121.3	Gm11292
ENSMUST00000146141.2	Adgrv1
ENSMUST00000146181.8	Mxd3
ENSMUST00000146238.2	Sema4d
ENSMUST00000146301.2	Cltb
ENSMUST00000146336.2	A330102I10Rik
ENSMUST00000146395.2	Kif2a
ENSMUST00000146674.2	Fgf10
ENSMUST00000146726.8	Mier3
ENSMUST00000146749.2	Adgrv1
ENSMUST00000146792.8	Rasa1
ENSMUST00000146857.2	Gm11274
ENSMUST00000146922.8	Sema4d
ENSMUST00000146931.8	Rnf44
ENSMUST00000147061.2	Srek1ip1
ENSMUST00000147180.2	Akr1c14
ENSMUST00000147229.8	Gtf2h2
ENSMUST00000147261.2	Carmil1
ENSMUST00000147306.2	Smn1
ENSMUST00000147318.2	4833439L19Rik
ENSMUST00000147407.2	Ndufs6
ENSMUST00000147514.2	Cwc27
ENSMUST00000147566.8	Lpcat1
ENSMUST00000147622.3	1110046J04Rik
ENSMUST00000147632.3	Psmg4
ENSMUST00000147704.2	Gm11342
ENSMUST00000147790.2	Ccnb1
ENSMUST00000147811.3	Gm11290
ENSMUST00000147973.3	ENSMUSG00000121654
ENSMUST00000148014.2	Rasa1
ENSMUST00000148071.8	Pgbd1
ENSMUST00000148115.3	Nsun2
ENSMUST00000148221.8	Hk3
ENSMUST00000148222.2	Nop16
ENSMUST00000148316.2	AW495222
ENSMUST00000148390.3	Slc22a23
ENSMUST00000148396.2	Slc28a3
ENSMUST00000148438.8	Ahrr
ENSMUST00000148492.2	Gm11314
ENSMUST00000148552.2	G630018N14Rik
ENSMUST00000148702.8	Uimc1
ENSMUST00000148743.3	Gm11335
ENSMUST00000148779.2	Mfsd14b
ENSMUST00000148885.8	2610307P16Rik
ENSMUST00000148891.8	Phactr1
ENSMUST00000148941.2	Arid4b
ENSMUST00000148950.2	Tmem171
ENSMUST00000148974.2	Gm16250
ENSMUST00000148981.3	Gm11342
ENSMUST00000148999.8	Pfkp
ENSMUST00000149028.2	Mctp1
ENSMUST00000149235.8	Phactr1
ENSMUST00000149252.2	Gm15327
ENSMUST00000149299.2	Ror2
ENSMUST00000149462.2	Nop16
ENSMUST00000149579.3	Arid4b
ENSMUST00000149644.8	Hk3
ENSMUST00000149661.2	Gm15325
ENSMUST00000149745.8	Rreb1
ENSMUST00000149751.3	ENSMUSG00000121648
ENSMUST00000149799.2	Rasa1
ENSMUST00000149839.2	AW495222
ENSMUST00000149858.2	Rgs14
ENSMUST00000150011.2	Simc1
ENSMUST00000150013.2	Fbp1
ENSMUST00000150113.2	Mrps36
ENSMUST00000150352.3	Ankra2
ENSMUST00000150376.2	Fam8a1
ENSMUST00000150418.8	1700018A04Rik
ENSMUST00000150498.8	Nr2f1
ENSMUST00000150547.3	Prss16
ENSMUST00000150555.8	Ninj1
ENSMUST00000150620.8	Phactr1
ENSMUST00000150623.2	Gm15286
ENSMUST00000150626.2	Rnf44
ENSMUST00000150652.2	Dek
ENSMUST00000150662.2	Sema4d
ENSMUST00000150672.2	Syk
ENSMUST00000150806.8	Rnf44
ENSMUST00000150916.9	Ankra2
ENSMUST00000150938.8	4833439L19Rik
ENSMUST00000151029.3	Gpr141b
ENSMUST00000151111.2	Pde4d
ENSMUST00000151144.2	Prl2c5
ENSMUST00000151151.2	Arid4b
ENSMUST00000151158.2	Thoc3
ENSMUST00000151182.2	Arid4b
ENSMUST00000151220.2	4932702P03Rik
ENSMUST00000151243.2	Hfe
ENSMUST00000151389.2	Smn1
ENSMUST00000151408.9	Rasgrf2
ENSMUST00000151429.2	Pde4d
ENSMUST00000151467.3	Zkscan3
ENSMUST00000151469.2	Auh
ENSMUST00000151471.2	4930519D14Rik
ENSMUST00000151509.9	Tpmt
ENSMUST00000151524.9	Slf1
ENSMUST00000151566.2	Carmil1
ENSMUST00000151675.2	Slc28a3
ENSMUST00000151743.9	Pgbd1
ENSMUST00000151821.8	Serf1
ENSMUST00000151827.3	Agtpbp1
ENSMUST00000151894.9	Pfkp
ENSMUST00000151918.8	Trpc7
ENSMUST00000152049.2	Gtf2h2
ENSMUST00000152204.3	Eif4e1b
ENSMUST00000152258.9	Zfp184
ENSMUST00000152286.2	Serf1
ENSMUST00000152292.2	4930451E10Rik
ENSMUST00000152392.2	Pxdc1
ENSMUST00000152466.2	Rasa1
ENSMUST00000152478.2	Lgals8
ENSMUST00000152555.8	Scamp1
ENSMUST00000152557.8	Zfp322a
ENSMUST00000152630.2	Pde4d
ENSMUST00000152634.8	Ercc8
ENSMUST00000152644.9	Zfp367
ENSMUST00000152704.8	Btf3
ENSMUST00000152725.8	Zmynd11
ENSMUST00000152798.3	Mboat1
ENSMUST00000153065.8	4833439L19Rik
ENSMUST00000153086.8	Cdkal1
ENSMUST00000153175.3	4930401O12Rik
ENSMUST00000153230.8	Pdlim7
ENSMUST00000153231.2	Rasa1
ENSMUST00000153234.8	Pde4d
ENSMUST00000153269.3	Mboat1
ENSMUST00000153329.2	Auh
ENSMUST00000153426.2	Pdlim7
ENSMUST00000153558.8	Scamp1
ENSMUST00000153665.8	Hk3
ENSMUST00000153685.2	A730081D07Rik
ENSMUST00000153708.2	4833439L19Rik
ENSMUST00000153753.3	C230035I16Rik
ENSMUST00000153819.2	Ninj1
ENSMUST00000153829.2	Sncb
ENSMUST00000153877.2	Secisbp2
ENSMUST00000153894.2	Faf2
ENSMUST00000153958.2	Gm15327
ENSMUST00000153974.8	Edil3
ENSMUST00000154100.8	Pfkp
ENSMUST00000154159.2	1700061E18Rik
ENSMUST00000154165.2	Cwc27
ENSMUST00000154202.8	Secisbp2
ENSMUST00000154209.2	Cdkal1
ENSMUST00000154298.2	2610307P16Rik
ENSMUST00000154345.2	Gm15908
ENSMUST00000154384.8	4930451E10Rik
ENSMUST00000154564.2	Macroh2a1
ENSMUST00000154615.3	5330429C05Rik
ENSMUST00000154678.3	Gm11379
ENSMUST00000154703.3	1700092E19Rik
ENSMUST00000154766.2	Gm11339
ENSMUST00000154778.8	Macroh2a1
ENSMUST00000154802.2	Tpmt
ENSMUST00000154850.2	Zfyve16
ENSMUST00000154919.2	9330162012Rik
ENSMUST00000154994.8	Zmynd11
ENSMUST00000155098.8	Pdlim7
ENSMUST00000155275.2	Mctp1
ENSMUST00000155292.2	2610307P16Rik
ENSMUST00000155432.2	4930557F10Rik
ENSMUST00000155459.2	Pde4d
ENSMUST00000155487.8	Mfsd14b
ENSMUST00000155553.8	Arid4b
ENSMUST00000155575.2	BC005537
ENSMUST00000155629.2	Ankra2
ENSMUST00000155732.2	Zfp369
ENSMUST00000155871.8	Lgals8
ENSMUST00000155896.2	Sema4d
ENSMUST00000155912.2	4930511O05Rik
ENSMUST00000155950.2	Vmn1r190-ps
ENSMUST00000156024.2	Arl10
ENSMUST00000156071.2	Lhfpl2
ENSMUST00000156105.2	Srek1ip1
ENSMUST00000156109.2	Gm15323
ENSMUST00000156221.8	Gpbp1
ENSMUST00000156236.2	Gm15286
ENSMUST00000156277.2	Akr1c6
ENSMUST00000156448.2	Nrsn1
ENSMUST00000156547.8	Ssbp2
ENSMUST00000156586.8	Zfyve16
ENSMUST00000156595.2	Asb13
ENSMUST00000156627.8	Adgrv1
ENSMUST00000156631.2	Adgrv1
ENSMUST00000156674.3	Zkscan8
ENSMUST00000156977.2	4933404K08Rik
ENSMUST00000157035.9	Zmynd11
ENSMUST00000158604.4	Gm25043
ENSMUST00000159003.2	Gm16125
ENSMUST00000159024.2	Fancc
ENSMUST00000159056.2	Fancc
ENSMUST00000159090.2	Arrdc3
ENSMUST00000159129.2	Dcdc2a
ENSMUST00000159147.8	Zfp346
ENSMUST00000159152.3	Aopep
ENSMUST00000159196.8	Wnk2
ENSMUST00000159199.8	Xrcc4
ENSMUST00000159214.2	Acot12
ENSMUST00000159239.8	Tbce
ENSMUST00000159278.8	Zfp346
ENSMUST00000159285.2	Vcan
ENSMUST00000159296.2	Gm16132
ENSMUST00000159300.8	Slf1
ENSMUST00000159321.2	Gfm2
ENSMUST00000159337.8	Vcan
ENSMUST00000159361.2	Gm15809
ENSMUST00000159427.8	Tbce
ENSMUST00000159459.8	Ocln
ENSMUST00000159462.3	Slf1
ENSMUST00000159515.2	Ocln
ENSMUST00000159559.8	Wnk2
ENSMUST00000159574.2	Sgtb
ENSMUST00000159595.2	Gm5083
ENSMUST00000159598.2	Pde8b
ENSMUST00000159608.8	Pde8b
ENSMUST00000159633.2	Wnk2
ENSMUST00000159647.8	Wdr41
ENSMUST00000159690.8	Arrdc3
ENSMUST00000159703.2	Gm15740
ENSMUST00000159721.2	Simc1
ENSMUST00000159772.8	Kif2a
ENSMUST00000159856.2	Arrdc3
ENSMUST00000159886.2	Gm10357
ENSMUST00000159893.8	Tbce
ENSMUST00000159910.8	Vcan
ENSMUST00000159931.2	Ccdc127
ENSMUST00000159957.9	Ercc6l2
ENSMUST00000159966.8	Tbce
ENSMUST00000160021.8	Ccdc127
